Wall time,Step,Value
1702173190.7707176,1225980,-1764.0
1702173308.5666323,1493010,-2924.0
1702173643.7245505,2240940,-1473.0
1702173692.7267838,2352270,-603.0
1702173740.456206,2462220,-1267.0
1702173836.0150037,2684180,-4023.0
1702173923.5758321,2892410,-998.0
1702174015.6532202,3108360,-210.0
1702174046.0945723,3180030,-136.0
1702174060.4301214,3213850,-225.0
1702174079.2090955,3257580,-382.0
1702174106.117141,3320060,-138.0
1702174112.3296714,3333940,-70.0
1702174118.5788636,3347870,-154.0
1702174120.1772408,3351430,-63.0
1702174125.3943765,3363600,-72.0
1702174127.6731074,3368820,-84.0
1702174171.361912,3469570,-195.0
1702174173.4512649,3474350,-30.0
1702174216.765612,3570210,1.0
1702174221.712564,3581340,-298.0
1702174229.7816586,3599030,22.0
1702174230.5188694,3600630,1.0
1702174231.0678723,3601740,-22362.0
1702174250.3033001,3642480,14.0
1702174258.0479906,3658430,-26.0
1702174258.9577374,3660530,28.0
1702174271.6686268,3687230,8.0
1702174273.0020134,3690240,2.0
1702174275.4508986,3695280,22.0
1702174297.648675,3744150,28.0
1702174301.3597374,3752080,28.0
1702174301.901551,3753140,33.0
1702174304.1300058,3757980,36.0
1702174305.8494966,3761150,32.0
1702174309.742739,3768480,25.0
1702174318.0039964,3784850,37.0
1702174326.7075627,3801380,39.0
1702174334.4139843,3815810,44.0
1702174335.47623,3818240,44.0
1702174337.075538,3820980,40.0
1702174337.3069448,3821570,28.0
1702174338.87031,3824580,48.0
1702174339.8787663,3826230,33.0
1702174341.5649798,3829460,35.0
1702174344.1443143,3834130,48.0
1702174349.698275,3844300,35.0
1702174353.8878622,3852090,44.0
1702174354.7004182,3853710,40.0
1702174357.6603642,3859070,37.0
1702174358.137697,3859760,40.0
1702174359.5453277,3862380,39.0
1702174361.6883273,3866430,9.0
1702174363.7367706,3870070,47.0
1702174365.1289086,3872470,43.0
1702174366.4335818,3874850,35.0
1702174367.2632143,3876400,37.0
1702174371.7747908,3884580,39.0
1702174375.3960724,3891140,40.0
1702174375.9169376,3891950,41.0
1702174378.1205056,3895950,43.0
1702174379.6144154,3898640,30.0
1702174381.069595,3901380,45.0
1702174382.4306524,3903860,37.0
1702174387.1363513,3912660,46.0
1702174391.3032024,3920200,34.0
1702174391.9778335,3921470,48.0
1702174396.0585032,3928850,41.0
1702174397.984329,3932210,53.0
1702174402.8339603,3940770,50.0
1702174405.5645967,3945450,39.0
1702174408.7651424,3951020,42.0
1702174413.8170137,3959310,51.0
1702174413.893315,3959480,53.0
1702174415.2836208,3961640,47.0
1702174416.030571,3962910,50.0
1702174416.5162046,3963990,49.0
1702174417.1448517,3964940,50.0
1702174417.7136867,3965810,46.0
1702174418.0457273,3966540,37.0
1702174418.080097,3966610,47.0
1702174425.319718,3978400,49.0
1702174427.0959675,3981350,48.0
1702174427.8492339,3982560,44.0
1702174428.4913974,3983510,46.0
1702174428.9457178,3984500,50.0
1702174432.675258,3990590,48.0
1702174435.6804013,3995590,53.0
1702174436.4289625,3996860,50.0
1702174437.9589107,3999270,48.0
1702174438.5981297,4000260,50.0
1702174438.9318569,4001000,42.0
1702174439.4711819,4001650,49.0
1702174440.108139,4002600,47.0
1702174440.4168398,4003290,51.0
1702174440.4873137,4003440,51.0
1702174441.9907095,4005950,46.0
1702174442.5285354,4006710,46.0
1702174442.9714744,4007630,52.0
1702174444.2362604,4009430,45.0
1702174448.8118594,4016700,45.0
1702174450.014328,4018850,51.0
1702174452.2789357,4022320,48.0
1702174452.2952337,4022350,53.0
1702174453.3416355,4024100,52.0
1702174458.8977957,4032720,51.0
1702174460.5621896,4035410,51.0
1702174462.3968105,4038390,46.0
1702174472.9393919,4054960,46.0
1702174473.7676845,4056320,50.0
1702174476.5878377,4060520,48.0
1702174477.3557904,4061740,55.0
1702174481.485816,4068330,42.0
1702174482.1688657,4069370,52.0
1702174483.0189366,4070710,52.0
1702174484.2142487,4072790,52.0
1702174488.0463357,4078730,52.0
1702174491.4900446,4084080,54.0
1702174492.2117372,4085170,53.0
1702174498.758909,4094950,45.0
1702174500.063643,4097070,49.0
1702174502.3470187,4100390,44.0
1702174502.7304015,4101100,46.0
1702174503.9787586,4102830,54.0
1702174504.2077055,4103240,54.0
1702174504.2692208,4103360,-5269.0
1702174506.8369877,4107320,52.0
1702174507.5881565,4108380,50.0
1702174509.8284273,4111630,54.0
1702174511.0451438,4113700,45.0
1702174513.4910629,4117440,51.0
1702174513.8872387,4117850,47.0
1702174514.908478,4119490,50.0
1702174516.508192,4121980,54.0
1702174521.4173148,4129370,54.0
